GENDER,SERVICE_NAME,SERVICE,TYPE,PRICE,OLD PRICE,image_url
MENS,Hair Cut,Trimming,,80,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,Hair cut normal,,150,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,shaving foam,,80,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,hair cutting cream and foam shaving,,250,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,beard setting and french beard,,100,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,hair cut and shampoo,,200,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,shampoo setting only,,60,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,small boys cut (below 5 year),,120,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,master cut,,150,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,pop cut,,150 - 200,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
MENS,Hair Cut,mushroom cut,,150 - 200,,https://cdn.shopify.com/s/files/1/0899/2676/2789/files/Classic_Crew_Cut.jpg?v=1730411406
,,,,,,
MENS,HAIR COLOURING,Garnier (No Ammonia),,300,,https://i.pinimg.com/originals/5b/17/59/5b175901550abeb9f645f865cee9d2b2.jpg
MENS,HAIR COLOURING,Any Herbal,,200,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN77Xj73oyeqbfAwrmKs_x8qKe02BLiNcfa3DWj9Yssn59veLG2B6tcc4&s=10
MENS,HAIR COLOURING,Dreamronor,,400,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN77Xj73oyeqbfAwrmKs_x8qKe02BLiNcfa3DWj9Yssn59veLG2B6tcc4&s=10
MENS,HAIR COLOURING,Loreal Majirel,,500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN77Xj73oyeqbfAwrmKs_x8qKe02BLiNcfa3DWj9Yssn59veLG2B6tcc4&s=10
MENS,HAIR COLOURING,Loreal (No Ammonia),,600,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN77Xj73oyeqbfAwrmKs_x8qKe02BLiNcfa3DWj9Yssn59veLG2B6tcc4&s=10
MENS,HAIR COLOURING,Bigen Loreal Innova / Revlon,,600 - 700,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN77Xj73oyeqbfAwrmKs_x8qKe02BLiNcfa3DWj9Yssn59veLG2B6tcc4&s=10
MENS,HAIR COLOURING,Mehanti,,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN77Xj73oyeqbfAwrmKs_x8qKe02BLiNcfa3DWj9Yssn59veLG2B6tcc4&s=10
MENS,HAIR COLOURING,Hair Straightening,,1500 - 3000,,
MENS,HAIR COLOURING,Hair Spa,,500 - 700,,https://content.jdmagicbox.com/comp/nellore/e6/9999px861.x861.190913191004.g5e6/catalogue/fresh-look-salon-jyothi-nagar-nellore-salons-3hzrgtkg1e.jpg
MENS,HAIR COLOURING,Oil Therapy,,800,,https://content.jdmagicbox.com/comp/nellore/e6/9999px861.x861.190913191004.g5e6/catalogue/fresh-look-salon-jyothi-nagar-nellore-salons-3hzrgtkg1e.jpg
,,,,,,
MENS,FACIAL,Face Pack,,100,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
MENS,FACIAL,Face Massage,,200,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQop3r0zfI8FP1ifL74je9lUE2RIZMu58ERk_GjQNezolgD6W9zkda3tRw&s=10
